Время	Канал A	A * B
(mс)	(В)	(?)

1.80536387	0.20218510	-0.05635322
1.80600387	0.24689470	-0.05505221
1.80664387	0.20218510	-0.06217284
1.80728387	0.20218510	-0.07107671
1.80792387	0.20218510	-0.07642026
1.80856387	0.20218510	-0.10202200
1.80920387	0.24689470	-0.08710738
1.80984387	0.20218510	-0.11071720
1.81048387	0.24689470	-0.11506480
1.81112387	0.24689470	-0.09778832
1.81176387	0.20218510	-0.09778832
1.81240387	0.20218510	-0.11941250
1.81304387	0.24689470	-0.09778832
1.81368387	0.20218510	-0.09601124
1.81432387	0.20218510	-0.11289480
1.81496387	0.24689470	-0.10853970
1.81560387	0.24689470	-0.08532413
1.81624387	0.20218510	-0.09549681
1.81688387	0.24689470	-0.08897162
1.81752387	0.24689470	-0.08026886
1.81816387	0.24689470	-0.06939606
1.81880387	0.24689470	-0.06070083
1.81944387	0.24689470	-0.04982803
1.82008387	0.24689470	-0.03895522
1.82072387	0.24689470	-0.02299704
1.82136387	0.20218510	-0.01720962
1.82200387	0.24689470	-0.00415924
1.82264387	0.24689470	0.00671356
1.82328387	0.24689470	0.01975640
1.82392387	0.24689470	0.03279924
1.82456387	0.24689470	0.04367205
1.82520387	0.24689470	0.05454485
1.82584387	0.24689470	0.06324761
1.82648387	0.24689470	0.06069811
1.82712387	0.20218510	0.08499322
1.82776387	0.24689470	0.09151841
1.82840387	0.24689470	0.09803607
1.82904387	0.24689470	0.10673880
1.82968387	0.24689470	0.11108640
1.83032387	0.24689470	0.11326400
1.83096387	0.24689470	0.11761160
1.83160387	0.24689470	0.11761160
1.83224387	0.24689470	0.11978920
1.83288387	0.24689470	0.11761160
1.83352387	0.24689470	0.11543410
1.83416387	0.24689470	0.11543410
1.83480387	0.24689470	0.11108640
1.83544387	0.24689470	0.10456120
1.83608387	0.24689470	0.09803607
1.83672387	0.24689470	0.08934084
1.83736387	0.24689470	0.08281564
1.83800387	0.24689470	0.07412041
1.83864387	0.24689470	0.06324761
1.83928387	0.24689470	0.06185925
1.83992387	0.29160440	0.04150201
1.84056387	0.24689470	0.03062920
1.84120387	0.24689470	0.01975640
1.84184387	0.24689470	0.00792930
1.84248387	0.29160440	-0.00415924
1.84312387	0.24689470	-0.02032607
1.84376387	0.29160440	-0.03316781
1.84440387	0.29160440	-0.04600954
1.84504387	0.29160440	-0.06142318
1.84568387	0.29160440	-0.07426491
1.84632387	0.29160440	-0.07157363
1.84696387	0.24689470	-0.09480457
1.84760387	0.29160440	-0.10508330
1.84824387	0.29160440	-0.09549681
1.84888387	0.24689470	-0.12305990
1.84952387	0.29160440	-0.13076680
1.85016387	0.29160440	-0.13333870
1.85080387	0.29160440	-0.13847360
1.85144387	0.29160440	-0.14103660
1.85208387	0.29160440	-0.14103660
1.85272387	0.29160440	-0.14103660
1.85336387	0.29160440	-0.13847360
1.85400387	0.29160440	-0.13590170
1.85464387	0.29160440	-0.15385230
1.85528387	0.33646660	-0.14199220
1.85592387	0.33646660	-0.11792500
1.85656387	0.29160440	-0.11021820
1.85720387	0.29160440	-0.11532510
1.85784387	0.33646660	-0.10346500
1.85848387	0.33646660	-0.07682792
1.85912387	0.29160440	-0.07679780
1.85976387	0.33646660	-0.06198042
1.86040387	0.33646660	-0.04419545
1.86104387	0.33646660	-0.02937806
1.86168387	0.33646660	-0.01159309
1.86232387	0.33646660	0.00322430
1.86296387	0.33646660	0.01803141
1.86360387	0.33646660	0.03580612
1.86424387	0.33646660	0.05062350
1.86488387	0.33646660	0.06544089
1.86552387	0.33646660	0.08026854
1.86616387	0.33646660	0.09508592
1.86680387	0.33646660	0.10693570
